Accuracy,TestSize,,,,,,
,,,,,,,
0.704475309,0.75,,,,,,
,,,,,,,
0.720679012,0.75,,,,,,
,,,,,,,
0.698302469,0.75,,,,,,
,,,,,,,
0.69212963,0.75,,,,,,
,,,,,,,
0.666666667,0.75,,,,,,
,,,,,,,
0.677083333,0.5,,,,,0.75,
,,,,,,0.5,
0.716435185,0.5,,,,,0.25,
,,,,,,0.05,
0.69212963,0.5,,,,,,
,,,,,,NB,Perceptron
0.702546296,0.5,,,,0.75,0.696450617,0.732253086
,,,,,0.5,0.699537037,0.756481481
0.709490741,0.5,,,,0.25,0.6875,0.772222222
,,,,,0.05,0.673563218,0.735632184
0.699074074,0.25,,,,,,
,,,,,,,
0.641203704,0.25,,,,,,
,,,,,,,
0.699074074,0.25,,,,,,
,,,,,,,
0.699074074,0.25,,,,,,
,,,,,,,
0.699074074,0.25,,,,,,
,,,,,,,
0.632183908,0.05,,,,,,
,,,,,,,
0.701149425,0.05,,,,,,
,,,,,,,
0.67816092,0.05,,,,,,
,,,,,,,
0.701149425,0.05,,,,,,
,,,,,,,
0.655172414,0.05,,,,,,
