Accuracy,TestSize,,,,
,,,,,
0.784722222,0.75,,,,
,,,,,
0.697530864,0.75,,,,
,,,,,
0.718364198,0.75,,,,
,,,,,
0.709104938,0.75,,,,
,,,,,
0.75154321,0.75,,,,
,,,,,
0.753472222,0.5,,,,
,,,,,
0.782407407,0.5,,,,
,,,,,
0.756944444,0.5,,,,
,,,,,
0.761574074,0.5,,,TestSize,Averages
,,,,0.75,0.732253086
0.728009259,0.5,,,0.5,0.756481481
,,,,0.25,0.772222222
0.777777778,0.25,,,0.05,0.735632184
,,,,,
0.766203704,0.25,,,,
,,,,,
0.8125,0.25,,,,
,,,,,
0.719907407,0.25,,,,
,,,,,
0.784722222,0.25,,,,
,,,,,
0.689655172,0.05,,,,
,,,,,
0.643678161,0.05,,,,
,,,,,
0.724137931,0.05,,,,
,,,,,
0.793103448,0.05,,,,
,,,,,
0.827586207,0.05,,,,
